Datum	m3 kapljicno	m3 trata	set point	kolicina v rezervoarju	odstopanje	ventil
2017-4-19 24:34:48	0.00	0.00	1.05	2.13	-1.08	0
2017-4-19 24:34:53	0.00	0.00	1.05	1.95	-0.90	0
2017-4-19 24:34:58	0.00	0.00	1.05	2.04	-0.99	0
2017-4-19 24:35:3	0.00	0.00	1.05	1.95	-0.90	0
2017-4-19 24:35:8	0.00	0.00	1.05	2.08	-1.03	0
2017-4-19 24:35:13	0.00	0.00	1.05	2.04	-0.99	0
2017-4-19 24:35:18	0.00	0.00	1.05	1.91	-0.86	0
2017-4-19 24:35:23	0.00	0.00	1.05	1.82	-0.77	0
2017-4-19 24:35:28	0.00	0.00	1.05	1.95	-0.90	0
2017-4-19 24:35:33	0.00	0.00	1.05	1.95	-0.90	0
2017-4-19 24:35:38	0.00	0.00	1.05	2.04	-0.99	0
2017-4-19 24:35:43	0.00	0.00	1.05	2.04	-0.99	0
2017-4-19 24:35:48	0.00	0.00	1.05	1.91	-0.86	0
2017-4-19 24:35:53	0.00	0.00	1.05	2.04	-0.99	0
2017-4-19 24:35:58	0.00	0.00	1.05	2.04	-0.99	0
2017-4-19 24:36:3	0.00	0.00	1.05	1.95	-0.90	0
