Datum	m3 kapljicno	m3 trata	set point	kolicina v rezervoarju	odstopanje	ventil
2017-4-21 10:48:23	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 10:48:28	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:48:33	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:48:38	0,00	0,00	1,05	2,00	-0,95	0
2017-4-21 10:48:43	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 10:48:48	0,00	0,00	1,05	1,87	-0,82	0
2017-4-21 10:48:53	0,00	0,00	1,05	2,00	-0,95	0
2017-4-21 10:48:58	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 10:49:3	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 10:49:8	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 10:49:13	0,00	0,00	1,05	1,87	-0,82	0
2017-4-21 10:49:18	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:49:23	0,00	0,00	1,05	2,08	-1,03	0
2017-4-21 10:49:28	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:49:33	0,00	0,00	1,05	2,00	-0,95	0
2017-4-21 10:49:38	0,00	0,00	1,05	2,00	-0,95	0
2017-4-21 10:49:43	0,00	0,00	1,05	1,87	-0,82	0
2017-4-21 10:49:48	0,00	0,00	1,05	2,00	-0,95	0
2017-4-21 10:49:53	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 10:49:58	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:50:3	0,00	0,00	1,05	1,87	-0,82	0
2017-4-21 10:50:8	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 10:50:13	0,00	0,00	1,05	2,00	-0,95	0
2017-4-21 10:50:18	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 10:50:23	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 10:50:28	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 10:50:33	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 10:50:38	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 10:50:43	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 10:50:48	0,00	0,00	1,05	2,04	-0,99	0
2017-4-21 10:50:53	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 10:50:58	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 10:51:3	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 10:51:8	0,00	0,00	1,05	1,95	-0,90	0
2017-4-21 10:51:13	0,00	0,00	1,05	2,08	-1,03	0
2017-4-21 10:51:18	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:51:23	0,00	0,00	1,05	1,91	-0,86	0
2017-4-21 10:51:28	0,00	0,00	1,05	2,08	-1,03	0
2017-4-21 10:51:33	0,00	0,00	1,05	2,08	-1,03	0
